;Gene Symbol;Entrez;logFC;AveExpr;t;P.Value;adj.P.Val;B
16748122;RP11-118B22.4;---;-3.8204263143;3.7371852477;-6.6357661253;1.86643445527548E-006;0.0198364654;4.4622022094
16815310;TNFRSF12A;51330;3.2168906896;3.3284811096;5.7802817896;1.18915898994975E-005;0.0631919087;3.0020533043
16897397;RNU4-49P;---;-1.9989115908;1.5135307121;-5.3541912712;3.08923422496083E-005;0.0795970379;2.2300321757
17116384;TXLNGY//TXLNG2P;246126;-2.22407574;2.9786360237;-5.3121274413;3.39804575882752E-005;0.0795970379;2.152348725
17116200;USP9Y;8287;-1.8974592905;2.7175440732;-5.2636264611;3.79343560349199E-005;0.0795970379;2.0624674806
16662685;INPP5B//RP11-109P14.10;3633;-3.1219601859;5.7051390589;-5.1573658113;4.8317156550132E-005;0.0795970379;1.8644174682
17116251;DDX3Y;8653;-2.7381636999;3.1431285707;-5.121622954;5.24255989245868E-005;0.0795970379;1.7974602904
16663051;ZFP69B;65243;2.8729063207;2.4461362333;4.9060500801;8.59590788562109E-005;0.1082745765;1.3902143615
16885939;RAB3GAP1;22930;1.8297426025;2.9442602011;4.8780334982;0.000091689;0.1082745765;1.3368796256
17004167;IRF4;3662;2.594536153;4.2090594794;4.7879905245;0.0001128636;0.1106232323;1.1648759216
17116977;UTY;7404;-2.4123962604;3.1544375329;-4.7187175238;0.0001324756;0.1106232323;1.0319633812
17112149;XIST;7503;4.4114707196;3.3601652505;4.7074186538;0.0001359871;0.1106232323;1.0102384989
17104920;TSIX;9383;4.1665342191;3.6192726907;4.6395812749;0.0001591403;0.1106232323;0.8795449898
16829037;ZCCHC14;23174;1.8852690565;1.970939989;4.6277411354;0.0001635722;0.1106232323;0.8566898804
17004333;TUBB2A;7280;1.8865800739;5.1280025948;4.6199961294;0.0001665386;0.1106232323;0.8417327325
16949792;FAM43A;131583;1.7216746318;2.178758551;4.5322738992;0.0002041791;0.1217020137;0.6719570587
16902476;MAP3K2;10746;1.8613598079;4.1648075422;4.5282061921;0.0002061193;0.1217020137;0.6640687821
16915042;CASS4;57091;-2.9872597575;5.5101705853;-4.4550818387;0.0002443497;0.1307431591;0.522041072
17025664;MIR1913;100302141;1.6924145552;2.0246416746;4.4521292849;0.0002460353;0.1307431591;0.5162978915
17009627;RN7SK;125050;2.3430028708;8.0290969008;4.3401208521;0.0003194165;0.1616551535;0.2979808602
17117126;KDM5D;8284;-1.7642231515;1.8619697408;-4.31816146;0.0003362027;0.1624164845;0.2550860021
16804942;FURIN;5045;1.4918632602;4.9641248716;4.2836550332;0.0003643891;0.1652987694;0.1876266321
17118451;TXLNGY//TXLNG2P;246126;-1.9301152611;2.9003000473;-4.2729976159;0.0003735653;0.1652987694;0.1667785445
16997383;F2RL2;2151;-1.8649331492;2.7039096333;-4.2558396728;0.0003888285;0.1652987694;0.1332017717
16695392;SLAMF6;114836;-1.9957990743;6.5784656577;-4.1810576763;0.0004630026;0.1786435037;-0.0133035351
16672373;PYHIN1;149628;-1.4543525101;5.7024084487;-4.1624413873;0.0004835755;0.1786435037;-0.0498116825
17081708;AGO2;27161;1.8731429895;4.3504385708;4.1590207738;0.000487454;0.1786435037;-0.0565212443
17116050;PRKY;5616;-2.6016069165;3.8930815085;-4.1275950243;0.000524577;0.1858401564;-0.1181827698
16782070;TRAJ27//YME1L1;---;-2.8650655093;4.2311956302;-4.1082012505;0.0005488855;0.1881792091;-0.1562524262
16854016;SPIRE1;56907;1.4323836134;1.8965382769;4.0789946312;0.0005876366;0.1941763724;-0.213605647
16903304;RP11-570L15.2;---;-1.9026232918;3.4969631158;-4.0568719726;0.0006187994;0.1941763724;-0.2570630551
16841907;RASD1;51655;2.3153771505;3.6467497445;4.0552217908;0.000621189;0.1941763724;-0.2603051158
16671914;LMNA;4000;2.2469278965;2.9896425913;4.0257242757;0.0006654943;0.1979178637;-0.318267771
17048876;ARPC1A;10552;-2.5559749105;2.8530511416;-4.0225776637;0.000670403;0.1979178637;-0.3244518785
16704055;HSD17B7P2;158160;-1.49020288;2.3405949813;-3.9895824806;0.0007241034;0.2079938194;-0.3893078737
